land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Frankreich;;23;25;0;;25;21;;23;0;;;23;
Süd Afrika;;4;4;0;;4;2;;2;0;;;2;
Belgien;;9;10;0;;10;5;;6;0;;;6;
Österreich;;18;19;0;;19;10;;11;0;;;11;
Großbritannien;;66;75;0;;75;34;;37;0;;;37;
Deutschland;;1013;1281;18;;1299;616;;794;9;;;803;
Portugal;;2;2;0;;2;2;;2;0;;;2;
Spanien;;2;2;0;;2;2;;2;0;;;2;
Italien;;16;18;0;;18;8;;10;0;;;10;
Sonstiges Asien;;2;2;0;;2;1;;1;0;;;1;
Luxemburg;;33;34;0;;34;7;;8;0;;;8;
USA;;45;47;0;;47;10;;11;0;;;11;
China, VR und Hongkong;;2;2;0;;2;1;;1;0;;;1;
Dänemark;;2;4;4;;8;1;;2;2;;;4;
Island;;2;2;0;;2;1;;1;0;;;1;
Schweden;;4;7;0;;7;3;;5;0;;;5;
Kanada;;4;8;0;;8;1;;2;0;;;2;
Schweiz;;26;34;3;;37;15;;19;1;;;20;
Irland;;3;3;0;;3;2;;2;0;;;2;
Polen;;1;1;0;;1;1;;1;0;;;1;
Niederlande;;71;77;0;;77;39;;43;0;;;43;
Japan;;3;3;0;;3;0;;0;0;;;0;
Türkei;;2;2;0;;2;1;;1;0;;;1;
;;;;;;;;;;;;;;
Total;;1353;1662;25;;1687;783;;984;12;;;996;
;;;;;;;;;;;;;;
