land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Arabische Golfstaaten;;6;8;0;;8;2;;3;0;;;3;;;
Irland;;4;4;0;;4;2;;2;0;;;2;;;
Norwegen;;14;14;0;;14;5;;5;0;;;5;;;
Portugal;;0;0;0;;0;0;;0;0;;;0;;;
Mittelamerika / Karibik;;2;2;0;;2;1;;1;0;;;1;;;
USA;;62;66;6;;72;18;;20;2;;;22;;;
Türkei;;2;2;0;;2;1;;1;0;;;1;;;
Australien;;3;3;0;;3;1;;1;0;;;1;;;
Finland;;6;6;0;;6;5;;5;0;;;5;;;
Luxemburg;;31;32;0;;32;9;;10;0;;;10;;;
Russland;;1;2;0;;2;1;;2;0;;;2;;;
China, VR und Hongkong;;22;22;0;;22;6;;6;0;;;6;;;
Großbritannien;;36;38;6;;44;27;;28;4;;;32;;;
Sonstiges Asien;;10;10;0;;10;4;;4;0;;;4;;;
Schweden;;27;29;0;;29;5;;6;0;;;6;;;
Niederlande;;66;68;0;;68;50;;52;0;;;52;;;
Belgien;;6;8;0;;8;6;;8;0;;;8;;;
Dänemark;;5;6;1;;7;3;;4;1;;;5;;;
Japan;;16;16;0;;16;3;;3;0;;;3;;;
Schweiz;;13;15;0;;15;8;;9;0;;;9;;;
;;3;3;0;;3;1;;1;0;;;1;;;
Brasilien;;13;13;0;;13;3;;3;0;;;3;;;
Tschech. Republik;;3;6;0;;6;1;;2;0;;;2;;;
Österreich;;11;11;0;;11;7;;7;0;;;7;;;
Spanien;;10;14;4;;18;5;;6;1;;;7;;;
Italien;;9;9;0;;9;8;;8;0;;;8;;;
Frankreich;;25;26;1;;27;16;;17;1;;;18;;;
Sonstiges Europa;;3;3;0;;3;2;;2;0;;;2;;;
Deutschland;;957;1177;60;;1237;536;;687;32;;;719;;;
;;;;;;;;;;;;;;;;
Total;;1366;1613;78;;1691;736;;903;41;;;944;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
