land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Großbritannien;;80;90;4;;94;46;;51;1;;;52;;;
Japan;;15;15;0;;15;3;;3;0;;;3;;;
Norwegen;;11;13;0;;13;5;;6;0;;;6;;;
Schweden;;3;3;0;;3;3;;3;0;;;3;;;
Belgien;;17;19;0;;19;11;;13;0;;;13;;;
Sonstiges Südamerika;;2;2;0;;2;1;;1;0;;;1;;;
Österreich;;24;27;0;;27;7;;8;0;;;8;;;
Kanada;;6;7;0;;7;2;;3;0;;;3;;;
Irland;;8;8;0;;8;3;;3;0;;;3;;;
Litauen;;2;2;0;;2;2;;2;0;;;2;;;
Russland;;5;10;0;;10;1;;2;0;;;2;;;
Australien;;4;4;0;;4;1;;1;0;;;1;;;
Tschech. Republik;;11;12;0;;12;7;;8;0;;;8;;;
Sonstiges Afrika;;2;2;0;;2;1;;1;0;;;1;;;
Israel;;13;26;0;;26;3;;6;0;;;6;;;
Spanien;;0;0;0;;0;0;;0;0;;;0;;;
Ungarn;;2;2;0;;2;2;;2;0;;;2;;;
Luxemburg;;9;10;0;;10;6;;7;0;;;7;;;
Portugal;;1;1;0;;1;1;;1;0;;;1;;;
Taiwan;;18;18;0;;18;1;;1;0;;;1;;;
Mittelamerika / Karibik;;8;8;0;;8;3;;3;0;;;3;;;
USA;;42;45;0;;45;14;;15;0;;;15;;;
Arabische Golfstaaten;;11;11;0;;11;1;;1;0;;;1;;;
Finland;;9;13;0;;13;1;;2;0;;;2;;;
Frankreich;;26;37;1;;38;17;;25;1;;;26;;;
Deutschland;;797;1047;43;;1090;548;;728;19;;;747;;;
Italien;;7;8;1;;9;4;;5;1;;;6;;;
China, VR und Hongkong;;22;24;0;;24;8;;9;0;;;9;;;
Sonstiges Europa;;16;16;0;;16;6;;6;0;;;6;;;
Polen;;2;2;0;;2;2;;2;0;;;2;;;
Niederlande;;56;67;0;;67;36;;45;0;;;45;;;
Dänemark;;4;4;0;;4;1;;1;0;;;1;;;
Sonstiges Asien;;15;15;0;;15;2;;2;0;;;2;;;
Süd Afrika;;2;2;0;;2;2;;2;0;;;2;;;
Schweiz;;33;56;1;;57;17;;27;1;;;28;;;
;;;;;;;;;;;;;;;;
Total;;1283;1626;50;;1676;768;;995;23;;;1018;;;
