land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Sonstiges Asien;;2;2;0;;2;2;;2;0;;;2;;;
Japan;;10;10;0;;10;2;;2;0;;;2;;;
Niederlande;;46;49;0;;49;29;;31;0;;;31;;;
Schweden;;1;2;0;;2;1;;2;0;;;2;;;
Belgien;;11;15;0;;15;9;;12;0;;;12;;;
Arabische Golfstaaten;;1;2;0;;2;1;;2;0;;;2;;;
Deutschland;;606;732;33;;765;449;;536;9;;;545;;;
Norwegen;;3;3;0;;3;3;;3;0;;;3;;;
Schweiz;;10;16;2;;18;6;;9;2;;;11;;;
USA;;24;25;0;;25;10;;11;0;;;11;;;
Sonstiges Afrika;;3;6;0;;6;1;;2;0;;;2;;;
Frankreich;;15;19;0;;19;9;;11;0;;;11;;;
China, VR und Hongkong;;8;15;5;;20;2;;4;1;;;5;;;
Irland;;3;6;0;;6;3;;6;0;;;6;;;
Österreich;;8;10;0;;10;5;;6;0;;;6;;;
Sonstiges Europa;;1;2;0;;2;1;;2;0;;;2;;;
Großbritannien;;75;103;0;;103;41;;51;0;;;51;;;
Luxemburg;;7;8;0;;8;7;;8;0;;;8;;;
Russland;;12;12;0;;12;5;;5;0;;;5;;;
Süd Afrika;;2;2;0;;2;1;;1;0;;;1;;;
Spanien;;5;5;0;;5;3;;3;0;;;3;;;
Slowenien;;1;1;0;;1;1;;1;0;;;1;;;
Dänemark;;5;5;0;;5;5;;5;0;;;5;;;
Italien;;13;13;0;;13;8;;8;0;;;8;;;
;;;;;;;;;;;;;;;;
Total;;872;1063;40;;1103;604;;723;12;;;735;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
