land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
;;6;6;0;;6;2;;2;0;;;2;;;
Brasilien;;3;3;0;;3;2;;2;0;;;2;;;
Sonstiges Europa;;2;2;0;;2;2;;2;0;;;2;;;
Deutschland;;750;882;7;;889;544;;647;6;;;653;;;
Sonstiges Asien;;14;15;0;;15;6;;7;0;;;7;;;
Dänemark;;4;4;0;;4;3;;3;0;;;3;;;
Frankreich;;33;35;0;;35;26;;27;0;;;27;;;
Türkei;;10;10;0;;10;5;;5;0;;;5;;;
Irland;;1;1;0;;1;1;;1;0;;;1;;;
Portugal;;1;1;0;;1;1;;1;0;;;1;;;
USA;;76;80;0;;80;24;;26;0;;;26;;;
Österreich;;10;10;0;;10;5;;5;0;;;5;;;
Italien;;11;11;0;;11;11;;11;0;;;11;;;
Großbritannien;;60;64;0;;64;40;;42;0;;;42;;;
Israel;;7;11;0;;11;2;;3;0;;;3;;;
Schweiz;;15;19;2;;21;12;;16;2;;;18;;;
Niederlande;;37;38;0;;38;24;;25;0;;;25;;;
China, VR und Hongkong;;8;9;0;;9;3;;4;0;;;4;;;
Schweden;;5;5;0;;5;3;;3;0;;;3;;;
Belgien;;8;8;0;;8;6;;6;0;;;6;;;
Litauen;;1;1;0;;1;1;;1;0;;;1;;;
Luxemburg;;5;5;0;;5;4;;4;0;;;4;;;
Spanien;;2;2;0;;2;2;;2;0;;;2;;;
Taiwan;;33;33;0;;33;3;;3;0;;;3;;;
;;;;;;;;;;;;;;;;
Total;;1102;1255;9;;1264;732;;848;8;;;856;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
