land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children
Frankreich;;31;34;0;;34;19;;22;0;;;22
Polen;;0;0;0;;0;0;;0;0;;;0
Österreich;;5;5;0;;5;3;;3;0;;;3
China, VR und Hongkong;;18;20;0;;20;7;;8;0;;;8
Sonstiges Asien;;39;39;0;;39;9;;9;0;;;9
Schweden;;10;10;0;;10;6;;6;0;;;6
Türkei;;3;3;0;;3;2;;2;0;;;2
Irland;;2;2;0;;2;1;;1;0;;;1
Russland;;11;14;0;;14;5;;6;0;;;6
Süd Afrika;;5;5;0;;5;1;;1;0;;;1
Spanien;;4;5;0;;5;3;;4;0;;;4
Niederlande;;7;9;0;;9;7;;9;0;;;9
Italien;;9;9;0;;9;6;;6;0;;;6
Australien;;6;12;0;;12;3;;6;0;;;6
Lettland;;0;0;0;;0;0;;0;0;;;0
USA;;7;9;0;;9;5;;7;0;;;7
Dänemark;;5;5;0;;5;5;;5;0;;;5
Finland;;2;2;0;;2;2;;2;0;;;2
Deutschland;;720;793;4;;797;492;;538;2;;;540
Griechenland;;2;2;0;;2;1;;1;0;;;1
Luxemburg;;3;3;0;;3;2;;2;0;;;2
Schweiz;;16;24;0;;24;10;;14;0;;;14
Belgien;;14;14;0;;14;8;;8;0;;;8
Sonstiges Afrika;;5;5;0;;5;2;;2;0;;;2
Großbritannien;;135;138;0;;138;63;;64;0;;;64
Sonstiges Europa;;3;3;0;;3;1;;1;0;;;1
Arabische Golfstaaten;;8;8;0;;8;3;;3;0;;;3
;;;;;;;;;;;;;
Total;;1070;1173;4;;1177;666;;730;2;;;732
