land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
China, VR und Hongkong;;42;45;0;;45;14;;15;0;;;15;;;
Sonstiges Afrika;;10;12;0;;12;5;;6;0;;;6;;;
Portugal;;2;2;0;;2;1;;1;0;;;1;;;
Schweiz;;10;11;0;;11;7;;8;0;;;8;;;
Belgien;;7;7;0;;7;5;;5;0;;;5;;;
Dänemark;;12;12;0;;12;9;;9;0;;;9;;;
Sonstiges Südamerika;;1;2;0;;2;1;;2;0;;;2;;;
Arabische Golfstaaten;;5;5;0;;5;3;;3;0;;;3;;;
Türkei;;4;4;0;;4;2;;2;0;;;2;;;
;;5;5;0;;5;1;;1;0;;;1;;;
Spanien;;11;12;3;;15;7;;8;1;;;9;;;
Tschech. Republik;;7;7;0;;7;4;;4;0;;;4;;;
Finland;;6;6;0;;6;3;;3;0;;;3;;;
Frankreich;;25;25;0;;25;21;;21;0;;;21;;;
Deutschland;;668;764;12;;776;477;;557;11;;;568;;;
Slowenien;;2;2;0;;2;2;;2;0;;;2;;;
USA;;49;49;0;;49;13;;13;0;;;13;;;
Italien;;29;29;0;;29;16;;16;0;;;16;;;
Sonstiges Europa;;2;2;0;;2;1;;1;0;;;1;;;
Sonstiges Asien;;6;6;0;;6;3;;3;0;;;3;;;
Luxemburg;;;0;0;;0;0;;0;0;;;0;;;
Polen;;3;3;0;;3;2;;2;0;;;2;;;
Niederlande;;35;39;0;;39;26;;29;0;;;29;;;
Großbritannien;;101;104;3;;107;54;;55;1;;;56;;;
Russland;;3;3;0;;3;2;;2;0;;;2;;;
Ungarn;;5;5;0;;5;3;;3;0;;;3;;;
Irland;;1;1;0;;1;1;;1;0;;;1;;;
Österreich;;21;21;0;;21;9;;9;0;;;9;;;
;;;;;;;;;;;;;;;;
Total;;1072;1183;18;;1201;692;;781;13;;;794;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
