land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;;;
Großbritannien;;73;76;0;;76;45;;47;0;;;47;;;
Deutschland;;688;839;8;;847;463;;568;4;;;572;;;
Schweden;;9;12;0;;12;6;;8;0;;;8;;;
Schweiz;;5;5;0;;5;5;;5;0;;;5;;;
Belgien;;11;11;0;;11;8;;8;0;;;8;;;
Tschech. Republik;;1;1;0;;1;1;;1;0;;;1;;;
Norwegen;;10;14;0;;14;7;;9;0;;;9;;;
Süd Afrika;;1;1;0;;1;1;;1;0;;;1;;;
Dänemark;;6;12;0;;12;6;;12;0;;;12;;;
;;4;4;0;;4;2;;2;0;;;2;;;
Griechenland;;0;0;0;;0;0;;0;0;;;0;;;
Ungarn;;3;3;0;;3;1;;1;0;;;1;;;
Irland;;4;4;0;;4;2;;2;0;;;2;;;
Japan;;2;3;0;;3;2;;3;0;;;3;;;
Niederlande;;74;77;0;;77;51;;54;0;;;54;;;
Slowakische Republik;;1;1;0;;1;1;;1;0;;;1;;;
China, VR und Hongkong;;6;12;0;;12;1;;2;0;;;2;;;
Italien;;16;18;0;;18;12;;13;0;;;13;;;
Luxemburg;;12;13;0;;13;10;;11;0;;;11;;;
Sonstiges Asien;;8;9;0;;9;4;;5;0;;;5;;;
Neuseeland und Ozeanien;;1;1;0;;1;1;;1;0;;;1;;;
Russland;;19;25;0;;25;8;;9;0;;;9;;;
Spanien;;9;9;0;;9;4;;4;0;;;4;;;
Mittelamerika / Karibik;;4;4;0;;4;2;;2;0;;;2;;;
Kanada;;1;1;0;;1;1;;1;0;;;1;;;
Sonstiges Südamerika;;1;2;0;;2;1;;2;0;;;2;;;
Polen;;8;12;0;;12;4;;5;0;;;5;;;
Australien;;11;22;0;;22;1;;2;0;;;2;;;
Frankreich;;17;23;0;;23;11;;14;0;;;14;;;
USA;;61;72;0;;72;25;;30;0;;;30;;;
Österreich;;21;24;0;;24;12;;15;0;;;15;;;
;;;;;;;;;;;;;;;;
Total;;1087;1310;8;;1318;698;;838;4;;;842;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
