land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Arabische Golfstaaten;;4;4;0;;4;2;;2;0;;;2;
Schweiz;;29;47;4;;51;17;;26;3;;;29;
China, VR und Hongkong;;25;27;0;;27;7;;8;0;;;8;
Russland;;17;17;0;;17;4;;4;0;;;4;
Spanien;;5;6;0;;6;4;;5;0;;;5;
Dänemark;;22;25;3;;28;9;;12;3;;;15;
Irland;;3;3;0;;3;1;;1;0;;;1;
Sonstiges Asien;;13;13;0;;13;7;;7;0;;;7;
Portugal;;4;4;0;;4;3;;3;0;;;3;
Niederlande;;68;69;0;;69;49;;50;0;;;50;
Australien;;8;9;2;;11;2;;3;2;;;5;
Finland;;1;1;0;;1;1;;1;0;;;1;
Deutschland;;853;1149;41;;1190;606;;799;33;;;832;
Lettland;;1;1;0;;1;1;;1;0;;;1;
Belgien;;15;21;4;;25;9;;12;2;;;14;
Sonstiges Europa;;2;2;0;;2;1;;1;0;;;1;
Mittelamerika / Karibik;;6;6;0;;6;1;;1;0;;;1;
USA;;76;77;0;;77;29;;30;0;;;30;
Ukraine;;1;1;0;;1;1;;1;0;;;1;
Kanada;;9;9;0;;9;3;;3;0;;;3;
Schweden;;5;6;0;;6;2;;3;0;;;3;
Österreich;;18;22;0;;22;12;;13;0;;;13;
Tschech. Republik;;1;1;0;;1;1;;1;0;;;1;
Frankreich;;42;48;0;;48;21;;24;0;;;24;
Japan;;7;7;0;;7;5;;5;0;;;5;
Luxemburg;;6;6;0;;6;3;;3;0;;;3;
Polen;;1;2;0;;2;1;;2;0;;;2;
Großbritannien;;128;166;10;;176;60;;62;4;;;66;
Norwegen;;2;2;0;;2;2;;2;0;;;2;
Taiwan;;5;5;0;;5;1;;1;0;;;1;
Italien;;6;6;0;;6;4;;4;0;;;4;
Türkei;;21;21;0;;21;0;;0;0;;;0;
;;;;;;;;;;;;;;
Total;;1404;1783;64;;1847;869;;1090;47;;;1137;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
