land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Brasilien;;1;1;0;;1;1;;1;0;;;1;
Arabische Golfstaaten;;0;0;0;;0;0;;0;0;;;0;
Tschech. Republik;;9;9;0;;9;3;;3;0;;;3;
Luxemburg;;35;50;0;;50;10;;18;0;;;18;
Russland;;6;8;0;;8;2;;3;0;;;3;
Schweden;;7;14;7;;21;3;;6;2;;;8;
Dänemark;;37;37;0;;37;6;;6;0;;;6;
China, VR und Hongkong;;28;28;0;;28;9;;9;0;;;9;
Ungarn;;4;4;0;;4;1;;1;0;;;1;
Japan;;3;3;0;;3;2;;2;0;;;2;
Sonstiges Asien;;3;3;0;;3;1;;1;0;;;1;
Belgien;;3;3;0;;3;2;;2;0;;;2;
Italien;;18;18;0;;18;9;;9;0;;;9;
Deutschland;;1170;1350;16;;1366;552;;668;12;;;680;
Schweiz;;22;32;2;;34;13;;17;2;;;19;
Türkei;;3;3;0;;3;2;;2;0;;;2;
;;5;5;0;;5;2;;2;0;;;2;
Norwegen;;1;2;0;;2;1;;2;0;;;2;
Spanien;;3;4;0;;4;2;;3;0;;;3;
Niederlande;;32;32;0;;32;25;;25;0;;;25;
Slowakische Republik;;0;0;0;;0;0;;0;0;;;0;
Großbritannien;;70;96;2;;98;50;;70;2;;;72;
Irland;;4;4;0;;4;2;;2;0;;;2;
Mittelamerika / Karibik;;4;4;0;;4;1;;1;0;;;1;
USA;;98;117;6;;123;32;;38;2;;;40;
Australien;;1;1;0;;1;1;;1;0;;;1;
Frankreich;;12;13;0;;13;9;;10;0;;;10;
Portugal;;3;3;0;;3;2;;2;0;;;2;
Österreich;;10;10;0;;10;4;;4;0;;;4;
;;;;;;;;;;;;;;
Total;;1592;1854;33;;1887;747;;908;20;;;928;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
