land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
;;1;1;0;;1;1;;1;0;;;1;
Kanada;;1;1;0;;1;1;;1;0;;;1;
Großbritannien;;42;45;0;;45;30;;32;0;;;32;
Deutschland;;931;1101;17;;1118;658;;778;9;;;787;
Polen;;1;1;0;;1;1;;1;0;;;1;
Spanien;;10;12;0;;12;8;;9;0;;;9;
Belgien;;14;18;6;;24;10;;12;2;;;14;
Italien;;20;20;0;;20;8;;8;0;;;8;
USA;;47;54;0;;54;19;;21;0;;;21;
Frankreich;;12;12;0;;12;9;;9;0;;;9;
Griechenland;;4;4;0;;4;2;;2;0;;;2;
Irland;;5;8;0;;8;2;;3;0;;;3;
Lettland;;0;0;0;;0;0;;0;0;;;0;
Schweden;;7;7;0;;7;3;;3;0;;;3;
Schweiz;;15;26;0;;26;9;;14;0;;;14;
Australien;;5;5;0;;5;1;;1;0;;;1;
Brasilien;;2;2;0;;2;2;;2;0;;;2;
Japan;;21;21;0;;21;9;;9;0;;;9;
Russland;;4;8;0;;8;1;;2;0;;;2;
Österreich;;21;23;0;;23;12;;14;0;;;14;
Luxemburg;;4;4;0;;4;3;;3;0;;;3;
China, VR und Hongkong;;46;46;0;;46;9;;9;0;;;9;
Ungarn;;1;2;0;;2;1;;2;0;;;2;
Israel;;2;2;0;;2;1;;1;0;;;1;
Norwegen;;1;1;0;;1;0;;0;0;;;0;
Niederlande;;72;73;0;;73;43;;44;0;;;44;
Arabische Golfstaaten;;3;3;0;;3;1;;1;0;;;1;
Türkei;;6;6;0;;6;2;;2;0;;;2;
Sonstiges Europa;;29;32;0;;32;9;;9;0;;;9;
Tschech. Republik;;1;1;0;;1;1;;1;0;;;1;
Sonstiges Asien;;7;7;0;;7;2;;2;0;;;2;
Dänemark;;2;4;0;;4;2;;4;0;;;4;
;;;;;;;;;;;;;;
Total;;1337;1550;23;;1573;860;;1000;11;;;1011;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
