land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Kanada;;3;6;0;;6;1;;2;0;;;2;
China, VR und Hongkong;;24;24;0;;24;11;;11;0;;;11;
Finland;;1;1;0;;1;1;;1;0;;;1;
Sonstiges Asien;;6;6;0;;6;3;;3;0;;;3;
Norwegen;;2;2;0;;2;2;;2;0;;;2;
Schweiz;;23;31;0;;31;10;;13;0;;;13;
Irland;;3;3;0;;3;1;;1;0;;;1;
Luxemburg;;53;54;0;;54;11;;12;0;;;12;
Russland;;10;10;0;;10;5;;5;0;;;5;
Mittelamerika / Karibik;;3;3;0;;3;1;;1;0;;;1;
Italien;;8;8;0;;8;6;;6;0;;;6;
Deutschland;;1441;1631;4;;1635;554;;664;3;;;667;
;;0;0;0;;0;0;;0;0;;;0;
Tschech. Republik;;2;2;0;;2;2;;2;0;;;2;
Schweden;;9;16;7;;23;2;;3;1;;;4;
Australien;;5;5;0;;5;2;;2;0;;;2;
Österreich;;24;26;2;;28;12;;13;1;;;14;
Brasilien;;;0;0;;0;0;;0;0;;;0;
Arabische Golfstaaten;;4;4;0;;4;2;;2;0;;;2;
Ungarn;;;0;0;;0;0;;0;0;;;0;
Portugal;;1;1;0;;1;1;;1;0;;;1;
USA;;58;66;0;;66;18;;21;0;;;21;
Japan;;7;7;0;;7;2;;2;0;;;2;
Slowakische Republik;;0;0;0;;0;0;;0;0;;;0;
Türkei;;1;1;0;;1;1;;1;0;;;1;
Großbritannien;;37;38;2;;40;30;;31;1;;;32;
Polen;;2;4;0;;4;2;;4;0;;;4;
Niederlande;;24;25;1;;26;19;;20;1;;;21;
Dänemark;;2;2;0;;2;2;;2;0;;;2;
Frankreich;;47;56;0;;56;23;;28;0;;;28;
Spanien;;0;0;0;;0;0;;0;0;;;0;
Belgien;;7;8;0;;8;6;;7;0;;;7;
;;;;;;;;;;;;;;
Total;;1807;2040;16;;2056;730;;860;7;;;867;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
