land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Großbritannien;;76;103;1;;104;32;;34;1;;;35;
Polen;;1;1;0;;1;1;;1;0;;;1;
Irland;;2;4;2;;6;1;;2;1;;;3;
Japan;;36;37;0;;37;13;;13;0;;;13;
Luxemburg;;5;5;0;;5;4;;4;0;;;4;
Portugal;;2;2;0;;2;1;;1;0;;;1;
Finland;;3;3;0;;3;2;;2;0;;;2;
Brasilien;;3;3;0;;3;2;;2;0;;;2;
Neuseeland und Ozeanien;;1;1;0;;1;1;;1;0;;;1;
China, VR und Hongkong;;36;36;0;;36;14;;14;0;;;14;
Frankreich;;31;31;0;;31;14;;14;0;;;14;
Schweden;;4;5;0;;5;3;;4;0;;;4;
Schweiz;;23;37;3;;40;10;;16;1;;;17;
Italien;;13;13;0;;13;7;;7;0;;;7;
Deutschland;;1145;1435;31;;1466;725;;891;20;;;911;
USA;;85;89;0;;89;19;;20;0;;;20;
Sonstiges Europa;;5;9;0;;9;3;;5;0;;;5;
Zypern;;3;5;0;;5;3;;5;0;;;5;
Tschech. Republik;;2;2;0;;2;2;;2;0;;;2;
Sonstiges Asien;;22;22;0;;22;4;;4;0;;;4;
Russland;;5;6;0;;6;3;;4;0;;;4;
Spanien;;1;1;0;;1;1;;1;0;;;1;
Belgien;;8;11;0;;11;8;;11;0;;;11;
Dänemark;;6;6;0;;6;5;;5;0;;;5;
Österreich;;20;23;3;;26;6;;7;1;;;8;
Sonstiges Afrika;;2;2;0;;2;2;;2;0;;;2;
Arabische Golfstaaten;;2;2;0;;2;2;;2;0;;;2;
Israel;;3;3;0;;3;1;;1;0;;;1;
Norwegen;;1;1;0;;1;1;;1;0;;;1;
Mittelamerika / Karibik;;11;11;0;;11;3;;3;0;;;3;
Niederlande;;37;42;0;;42;29;;33;0;;;33;
Türkei;;5;5;0;;5;3;;3;0;;;3;
;;;;;;;;;;;;;;
Total;;1599;1956;40;;1996;925;;1115;24;;;1139;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
