land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Russland;;10;14;0;;14;2;;3;0;;;3;
USA;;96;99;0;;99;26;;28;0;;;28;
Sonstiges Südamerika;;1;1;0;;1;1;;1;0;;;1;
Sonstiges Asien;;26;27;11;;38;5;;5;1;;;6;
Niederlande;;34;42;1;;43;25;;31;1;;;32;
Dänemark;;1;1;0;;1;1;;1;0;;;1;
Brasilien;;3;3;0;;3;1;;1;0;;;1;
Großbritannien;;55;88;0;;88;15;;17;0;;;17;
Irland;;2;2;0;;2;1;;1;0;;;1;
Spanien;;0;0;0;;0;0;;0;0;;;0;
Italien;;3;3;0;;3;3;;3;0;;;3;
China, VR und Hongkong;;34;34;0;;34;9;;9;0;;;9;
Schweiz;;15;27;2;;29;10;;17;1;;;18;
Neuseeland und Ozeanien;;0;0;0;;0;0;;0;0;;;0;
Tschech. Republik;;14;15;1;;16;6;;7;1;;;8;
Deutschland;;1135;1440;49;;1489;643;;840;26;;;866;
Japan;;3;6;0;;6;2;;4;0;;;4;
Norwegen;;1;1;0;;1;1;;1;0;;;1;
;;4;4;0;;4;2;;2;0;;;2;
Finland;;3;3;0;;3;3;;3;0;;;3;
Frankreich;;9;9;0;;9;7;;7;0;;;7;
Arabische Golfstaaten;;2;4;0;;4;1;;2;0;;;2;
Mittelamerika / Karibik;;2;4;1;;5;2;;4;1;;;5;
Süd Afrika;;1;1;0;;1;1;;1;0;;;1;
Belgien;;18;23;2;;25;18;;21;1;;;22;
Türkei;;2;2;0;;2;1;;1;0;;;1;
Luxemburg;;7;9;0;;9;6;;8;0;;;8;
Schweden;;6;6;0;;6;6;;6;0;;;6;
Österreich;;18;21;0;;21;13;;15;0;;;15;
;;;;;;;;;;;;;;
Total;;1505;1889;67;;1956;811;;1039;32;;;1071;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
