land/code;;rooms;adults;children;;adults and children;arrivals rooms;;arrivals adults;arrivals children;;;arrivals adults and children;
Kanada;;;0;0;;0;0;;0;0;;;0;
Sonstiges Afrika;;6;6;0;;6;3;;3;0;;;3;
Sonstiges Europa;;13;13;0;;13;7;;7;0;;;7;
Dänemark;;1;2;0;;2;1;;2;0;;;2;
Sonstiges Asien;;16;18;0;;18;6;;7;0;;;7;
Irland;;2;2;0;;2;2;;2;0;;;2;
Japan;;11;11;0;;11;4;;4;0;;;4;
Luxemburg;;7;8;1;;9;6;;7;1;;;8;
Russland;;18;23;0;;23;8;;10;0;;;10;
Spanien;;20;37;0;;37;7;;11;0;;;11;
Österreich;;15;18;0;;18;11;;13;0;;;13;
;;6;6;0;;6;1;;1;0;;;1;
Großbritannien;;75;78;0;;78;48;;50;0;;;50;
Lettland;;0;0;0;;0;0;;0;0;;;0;
Schweiz;;19;27;0;;27;13;;17;0;;;17;
Mittelamerika / Karibik;;14;14;0;;14;2;;2;0;;;2;
Niederlande;;94;98;0;;98;49;;52;0;;;52;
Polen;;5;6;0;;6;5;;6;0;;;6;
Belgien;;27;27;0;;27;18;;18;0;;;18;
Deutschland;;1007;1264;12;;1276;713;;889;7;;;896;
Israel;;6;6;0;;6;2;;2;0;;;2;
Süd Afrika;;6;6;0;;6;1;;1;0;;;1;
Arabische Golfstaaten;;8;13;0;;13;2;;3;0;;;3;
Frankreich;;18;18;0;;18;10;;10;0;;;10;
Ungarn;;3;3;0;;3;1;;1;0;;;1;
Schweden;;9;11;0;;11;5;;6;0;;;6;
Slowakische Republik;;0;0;0;;0;0;;0;0;;;0;
Sonstiges Südamerika;;6;6;0;;6;2;;2;0;;;2;
China, VR und Hongkong;;20;21;0;;21;7;;8;0;;;8;
Finland;;5;5;0;;5;3;;3;0;;;3;
USA;;72;73;0;;73;23;;24;0;;;24;
Italien;;20;20;0;;20;12;;12;0;;;12;
Ukraine;;3;6;0;;6;2;;4;0;;;4;
Türkei;;6;6;0;;6;2;;2;0;;;2;
;;;;;;;;;;;;;;
Total;;1538;1852;13;;1865;976;;1179;8;;;1187;
;;;;;;;;;;;;;;
