Description;2013;2014;2015;2016;2017;2018;;;;;;
total guests in house;1555;1413;1718;1669;1660;1661;;;;;;
total guests (adults);1505;1395;1685;1619;1594;1559;;;;;;
total guests (children);50;18;33;50;66;102;;;;;;
;;;;;;;;;;;;
total rooms in house;2.015;2015;2.015;2015;2.015;2015;;;;;;
total rooms (occupied);1.158;1032;1.276;1283;1.249;1166;;;;;;
total rooms (free);857;983;739;732;766;849;;;;;;
% occupied rooms;57,47;51,22;63,33;63,67;61,99;57,87;;;;;;
;;;;;;;;;;;;
complimentary rooms;0;5;10;3;6;10;;;;;;
house use rooms;0;0;0;0;0;0;;;;;;
OOO rooms;21;238;61;72;42;48;;;;;;
OOS rooms;0;0;0;0;0;0;;;;;;
;;;;;;;;;;;;
total rooms - OOO;1994;1777;1954;1943;1973;1967;;;;;;
free rooms - OOO;836;745;678;660;724;801;;;;;;
% occupied rooms - complimentary;57,47;50,97;62,83;63,52;61,69;57,37;;;;;;
;;;;;;;;;;;;
occupied rooms - copmlimentary/house;1158;1027;1266;1280;1243;1156;;;;;;
occupied beds;41,46;37,67;45,8;44,49;44,25;44,28;;;;;;
single occupied doubles;691;539;736;844;770;667;;;;;;
;;;;;;;;;;;;
arrivals rooms;674;643;826;761;781;755;;;;;;
departures rooms;682;660;821;732;764;736;;;;;;
;;;;;;;;;;;;
arrivals guests;930;870;1123;1011;1057;1081;;;;;;
departures guests;909;888;1126;993;1040;1025;;;;;;
;;;;;;;;;;;;
VIP Gäste;0;0;0;0;0;0;;;;;;
Complimentary Gäste;0;9;16;6;12;20;;;;;;
wiederkehrende Zimmer;272;299;353;331;318;319;;;;;;
Abreisen nicht bezahlt;0;0;0;0;0;0;;;;;;
Reservierungen heute;1.069;827;880;1.017;1.032;976;;;;;;
Walk Ins;5;22;6;6;4;4;;;;;;
Stornierungen für heute;123;132;169;134;162;137;;;;;;
Stornierungen heute;148;199;199;140;198;148;;;;;;
No Show Zimmer;0;0;0;0;0;0;;;;;;
Tageszimmer;3;4;0;7;0;0;;;;;;
;;;;;;;;;;;;
Bruttoumsatz Hotel;153.673,49;181.841,68;235.314,40;250.373,71;317.062,71;223.438,35;;;;;;
Nicht Hotel Umsatz;373,61;146,34;50,79;10,05;23,72;-1,85;;;;;;
Bruttoumsatz gesamt;154.047,10;181.988,02;235.365,19;250.383,76;317.086,43;223.436,50;;;;;;
Nettoumsatz Hotel;139.273,79;162.660,54;209.635,90;222.853,49;278.337,33;199.025,24;;;;;;
Zahlungen;160.304,68;182.433,76;222.321,54;253.268,26;305.411,27;217.039,40;;;;;;
;;;;;;;;;;;;
Umsatz pro Erwachsener;102,11;130,35;139,65;154,65;198,91;143,32;;;;;;
Umsatz pro Person;98,83;128,69;136,97;150,01;191;134,52;;;;;;
Umsatz pro bel. Zimmer;132,71;176,2;184,42;195,15;253,85;191,63;;;;;;
Umsatz pro verfügbaren Zimmer;77,07;102,33;120,43;128,86;160,7;113,59;;;;;;
;;;;;;;;;;;;
Ø Zim. Umsatz Logis Brutto;92,82;97,27;100,45;102,95;98,45;102,88;;;;;;
Ø Zim. Umsatz Logis Brutto - Comp;92,82;97,74;101,24;103,19;98,93;103,77;;;;;;
Ø Zim. Umsatz Logis Brutto - Comp / Haus;92,82;97,74;101,24;103,19;98,93;103,77;;;;;;
Ø Zim. Umsatz Logis Netto;86,75;90,91;93,87;96,22;92,01;96,15;;;;;;
Ø Zim. Umsatz Logis Netto - Comp;86,75;91,35;94,62;96,44;92,45;96,98;;;;;;
Ø Zim. Umsatz Logis Netto - Comp / Haus;86,75;91,35;94,62;96,44;92,45;96,98;;;;;;
;;;;;;;;;;;;
Bruttoumsatz Logis;107.490,00;100.383,60;128.168,60;132.085,70;122.965,32;119.960,11;;;;;;
Nettoumsatz Logis;100.457,93;93.816,45;119.783,74;123.444,60;114.920,87;112.112,25;;;;;;
Bruttoumsatz F&B;28.985,02;64.219,10;100.057,20;104.498,56;107.574,54;99.382,74;;;;;;
Nettoumsatz F&B;24.357,17;53.965,63;84.081,68;87.813,92;90.398,77;83.514,89;;;;;;
Bruttoumsatz Minibar;655,5;636,6;805,1;816,5;770,8;681,7;;;;;;
Nettoumsatz Minibar;550,84;534,95;676,55;686,13;647,73;572,85;;;;;;
Bruttoumsatz Telefon;52,31;19,65;14,65;91,1;12,3;2,7;;;;;;
Nettoumsatz Telefon;43,96;16,51;12,31;76,55;10,34;2,27;;;;;;
Bruttoumsatz Divers;16.490,66;16.582,73;6.268,85;12.881,85;85.739,75;3.411,10;;;;;;
Nettoumsatz Divers;13.863,90;14.326,99;5.081,61;10.832,28;72.359,63;2.822,97;;;;;;
Bruttoumsatz, nicht zuge.;0;0;0;0;0;0;;;;;;
Nettoumsatz, nicht zuge.;0;0;0;0;0;0;;;;;;
;;;;;;;;;;;;
Umsatz Firma;65.251,60;62.666,80;77.166,40;80.023,65;73.723,66;70.593,05;;;;;;
Zimmer Firma;741;579;763;751;757;637;;;;;;
Umsatz Reisebüro;32.454,00;31.533,95;46.226,70;40.375,94;30.145,56;31.022,10;;;;;;
Zimmer Reisebüro;341;304;441;324;231;269;;;;;;
Umsatz Reservierungsstelle;914,4;1.687,30;103;10.351,25;692,5;509,5;;;;;;
Zimmer Reservierungsstelle;8;15;1;83;4;4;;;;;;
Umsatz Individuell;21.139,90;27.801,75;19.439,50;27.267,25;33.404,90;25.783,05;;;;;;
Zimmer Individuell;167;210;169;186;258;203;;;;;;
Umsatz Bucher;46.883,40;43.673,70;53.670,50;54.039,30;56.502,95;51.218,30;;;;;;
Zimmer Bucher;563;434;596;592;531;470;;;;;;
