Description;2013;2014;2015;2016;2017;2018;;
total guests in house;1321;1101;1183;1272;1368;1370;;
total guests (adults);1287;1061;1176;1254;1338;1342;;
total guests (children);34;40;7;18;30;28;;
;;;;;;;;
total rooms in house;2.015;2015;2.015;2015;2.015;2015;;
total rooms (occupied);1.066;872;1.024;1008;1.069;1054;;
total rooms (free);949;1143;991;1007;946;961;;
% occupied rooms;52,90;43,28;50,82;50,02;53,05;52,31;;
;;;;;;;;
complimentary rooms;0;9;8;5;3;4;;
house use rooms;0;0;0;0;0;0;;
OOO rooms;16;135;775;654;667;735;;
OOS rooms;0;0;0;0;0;2;;
;;;;;;;;
total rooms - OOO;1999;1880;1240;1361;1348;1280;;
free rooms - OOO;933;1008;216;353;279;226;;
% occupied rooms - complimentary;52,90;42,83;50,42;49,78;52,90;52,11;;
;;;;;;;;
occupied rooms - copmlimentary/house;1066;863;1016;1003;1066;1050;;
occupied beds;35,22;29,35;31,54;33,91;36,47;36,52;;
single occupied doubles;694;580;733;665;686;636;;
;;;;;;;;
arrivals rooms;572;602;623;648;690;650;;
departures rooms;626;609;682;706;717;666;;
;;;;;;;;
arrivals guests;728;733;727;819;893;845;;
departures guests;827;738;787;872;894;870;;
;;;;;;;;
VIP Gäste;0;0;0;0;0;0;;
Complimentary Gäste;0;18;10;10;4;6;;
wiederkehrende Zimmer;316;322;324;350;359;312;;
Abreisen nicht bezahlt;0;0;1;0;0;0;;
Reservierungen heute;453;366;509;510;547;654;;
Walk Ins;2;5;4;5;2;2;;
Stornierungen für heute;181;150;192;137;223;161;;
Stornierungen heute;77;109;134;94;140;99;;
No Show Zimmer;0;0;0;0;0;0;;
Tageszimmer;1;3;4;1;8;3;;
;;;;;;;;
Bruttoumsatz Hotel;151.995,40;179.572,10;230.485,54;237.767,98;254.022,97;254.244,46;;
Nicht Hotel Umsatz;-57,84;16,45;-19,11;159,28;-59,03;76,30;;
Bruttoumsatz gesamt;151.937,56;179.588,55;230.466,43;237.927,26;253.963,94;254.320,76;;
Nettoumsatz Hotel;137.055,29;159.231,36;203.433,43;209.498,57;223.729,35;224.143,96;;
Zahlungen;176.249,78;205.682,40;251.254,58;256.817,97;279.411,04;271.647,63;;
;;;;;;;;
Umsatz pro Erwachsener;118,10;169,25;195,99;189,61;189,85;189,45;;
Umsatz pro Person;115,06;163,10;194,83;186,92;185,69;185,58;;
Umsatz pro bel. Zimmer;142,58;205,93;225,08;235,88;237,63;241,22;;
Umsatz pro verfügbaren Zimmer;76,04;95,52;185,88;174,70;188,44;198,63;;
;;;;;;;;
Ø Zim. Umsatz Logis Brutto;92,40;98,16;101,16;102,63;106,19;107,54;;
Ø Zim. Umsatz Logis Brutto - Comp;92,40;99,19;101,95;103,14;106,48;107,95;;
Ø Zim. Umsatz Logis Brutto - Comp / Haus;92,40;99,19;101,95;103,14;106,48;107,95;;
Ø Zim. Umsatz Logis Netto;86,36;91,74;94,54;95,91;99,24;100,50;;
Ø Zim. Umsatz Logis Netto - Comp;86,36;92,70;95,28;96,39;99,52;100,89;;
Ø Zim. Umsatz Logis Netto - Comp / Haus;86,36;92,70;95,28;96,39;99,52;100,89;;
;;;;;;;;
Bruttoumsatz Logis;98.503,40;85.599,60;103.584,88;103.448,30;113.512,45;113.346,89;;
Nettoumsatz Logis;92.059,24;79.999,62;96.808,30;96.680,66;106.086,40;105.931,67;;
Bruttoumsatz F&B;34.815,90;81.596,10;112.613,44;115.394,34;137.046,47;138.103,78;;
Nettoumsatz F&B;29.257,08;68.568,15;94.633,14;96.970,05;115.165,09;116.053,58;;
Bruttoumsatz Minibar;623,40;494,90;672,80;734,70;677,20;716,00;;
Nettoumsatz Minibar;523,86;415,88;565,37;617,39;569,07;601,68;;
Bruttoumsatz Telefon;36,82;3,50;22,65;15,50;3,00;0,80;;
Nettoumsatz Telefon;30,94;2,94;19,03;13,03;2,52;0,67;;
Bruttoumsatz Divers;18.015,88;11.878,00;13.591,77;18.175,14;2.783,85;2.076,99;;
Nettoumsatz Divers;15.184,16;10.244,77;11.407,58;15.217,45;1.906,26;1.556,36;;
Bruttoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
Nettoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
;;;;;;;;
Umsatz Firma;64.887,40;54.096,70;60.325,75;67.457,30;77.013,45;77.772,55;;
Zimmer Firma;828;652;682;688;740;794;;
Umsatz Reisebüro;15.537,00;12.161,60;29.482,15;29.710,65;14.789,35;10.598,30;;
Zimmer Reisebüro;183;124;240;231;110;104;;
Umsatz Reservierungsstelle;522,20;718,40;86,00;0,00;0,00;0,00;;
Zimmer Reservierungsstelle;5;6;1;0;0;0;;
Umsatz Individuell;14.684,50;11.245,45;14.981,55;21.983,35;28.287,65;18.102,90;;
Zimmer Individuell;121;87;126;167;195;159;;
Umsatz Bucher;51.226,60;43.681,30;47.116,35;37.665,13;60.015,35;47.271,94;;
Zimmer Bucher;713;557;586;435;596;599;;
