Description;2013;2014;2015;2016;2017;2018;2019
total guests in house;1471;1399;1262;1629;1371;1485;1502
total guests (adults);1463;1388;1253;1621;1356;1468;1452
total guests (children);8;11;9;8;15;17;50
;;;;;;;
total rooms in house;1.820;1820;1820;1.885;1820;1.820;1820
total rooms (occupied);1.275;1224;1102;1.403;1193;1.268;1257
total rooms (free);545;596;718;482;627;552;563
% occupied rooms;70,05;67,25;60,55;74,43;65,55;69,67;69,07
;;;;;;;
complimentary rooms;4;2;3;0;4;7;4
house use rooms;0;0;0;0;0;0;0
OOO rooms;22;74;90;101;69;98;56
OOS rooms;1;0;0;0;2;1;2
;;;;;;;
total rooms - OOO;1798;1746;1730;1784;1751;1722;1764
free rooms - OOO;523;522;628;381;558;454;507
% occupied rooms - complimentary;69,84;67,14;60,38;74,43;65,33;69,29;68,85
;;;;;;;
occupied rooms - copmlimentary/house;1271;1222;1099;1403;1189;1261;1253
occupied beds;43,42;41,29;37,25;46,42;40,47;43,83;44,33
single occupied doubles;937;884;838;990;852;918;931
;;;;;;;
arrivals rooms;674;793;731;794;705;727;791
departures rooms;672;825;743;759;703;720;808
;;;;;;;
arrivals guests;789;906;854;939;834;867;950
departures guests;785;947;865;909;837;860;967
;;;;;;;
VIP Gäste;0;0;0;0;0;0;0
Complimentary Gäste;7;4;4;0;11;15;7
wiederkehrende Zimmer;310;416;310;398;345;378;398
Abreisen nicht bezahlt;0;0;0;0;0;0;0
Reservierungen heute;897;1.029;888;1.045;942;980;1.021
Walk Ins;1;4;8;5;4;0;1
Stornierungen für heute;160;179;145;185;153;182;168
Stornierungen heute;144;216;188;201;154;180;206
No Show Zimmer;0;0;0;0;0;0;0
Tageszimmer;2;1;1;3;7;4;3
;;;;;;;
Bruttoumsatz Hotel;194.202,00;180.629,87;211.752,89;251.041,41;219.929,61;236.573,54;246.043,97
Nicht Hotel Umsatz;172,05;430,96;216,4;286,15;42,35;59,36;-98,47
Bruttoumsatz gesamt;194.374,05;181.060,83;211.969,29;251.327,56;219.971,96;236.632,90;245.945,50
Nettoumsatz Hotel;173.953,13;163.238,90;188.373,32;224.276,76;195.804,01;211.335,00;219.379,32
Zahlungen;184.732,93;187.647,25;224.522,58;243.445,04;220.263,31;231.091,75;245.323,72
;;;;;;;
Umsatz pro Erwachsener;132,74;130,14;169;154,87;162,19;161,15;169,45
Umsatz pro Person;132,02;129,11;167,79;154,11;160,42;159,31;163,81
Umsatz pro bel. Zimmer;152,32;147,57;192,15;178,93;184,35;186,57;195,74
Umsatz pro verfügbaren Zimmer;108,01;103,45;122,4;140,72;125,6;137,38;139,48
;;;;;;;
Ø Zim. Umsatz Logis Brutto;89,42;99,2;96,63;99,93;99,49;104,89;104,84
Ø Zim. Umsatz Logis Brutto - Comp;89,71;99,36;96,89;99,93;99,82;105,48;105,17
Ø Zim. Umsatz Logis Brutto - Comp / Haus;89,71;99,36;96,89;99,93;99,82;105,48;105,17
Ø Zim. Umsatz Logis Netto;83,57;92,71;90,31;93,4;92,98;98,03;97,98
Ø Zim. Umsatz Logis Netto - Comp;83,84;92,86;90,55;93,4;93,29;98,58;98,29
Ø Zim. Umsatz Logis Netto - Comp / Haus;83,84;92,86;90,55;93,4;93,29;98,58;98,29
;;;;;;;
Bruttoumsatz Logis;114.016,50;121.423,50;106.485,80;140.206,40;118.688,40;133.006,00;131.783,04
Nettoumsatz Logis;106.557,46;113.479,89;99.519,43;131.034,02;110.923,75;124.304,67;123.161,72
Bruttoumsatz F&B;56.181,15;41.260,41;89.917,64;100.721,64;89.189,76;93.856,14;106.185,96
Nettoumsatz F&B;47.214,77;34.672,62;75.561,05;84.640,06;74.949,37;78.870,70;89.231,91
Bruttoumsatz Minibar;957;802,1;621,9;908,5;612;642;633,5
Nettoumsatz Minibar;804,2;674,03;522,6;763,44;514,28;539,49;532,35
Bruttoumsatz Telefon;32,64;132,74;32,45;33,85;2,7;7,2;1,1
Nettoumsatz Telefon;27,43;111,54;27,27;28,45;2,27;6,05;0,92
Bruttoumsatz Divers;23.014,71;17.011,13;14.695,10;9.171,02;11.436,75;9.062,20;7.440,37
Nettoumsatz Divers;19.349,28;14.300,81;12.742,97;7.810,80;9.414,34;7.614,09;6.452,42
Bruttoumsatz, nicht zuge.;0;0;0;0;0;0;0
Nettoumsatz, nicht zuge.;0;0;0;0;0;0;0
;;;;;;;
Umsatz Firma;87.705,75;99.498,85;80.880,20;110.268,45;84.767,67;108.326,95;102.182,43
Zimmer Firma;1.045;1020;884;1.073;980;1.020;1037
Umsatz Reisebüro;23.278,35;26.206,25;29.868,40;27.675,25;24.178,60;21.261,70;23.101,35
Zimmer Reisebüro;191;239;291;294;189;166;241
Umsatz Reservierungsstelle;110;834,6;0;2.441,50;0;0;96,9
Zimmer Reservierungsstelle;1;36;0;19;0;0;1
Umsatz Individuell;12.214,30;10.472,80;12.200,10;16.779,40;13.503,10;25.721,00;15.529,35
Zimmer Individuell;125;79;102;126;99;164;105
Umsatz Bucher;64.666,80;67.404,45;47.464,20;71.347,00;55.476,42;77.945,45;57.470,88
Zimmer Bucher;838;728;577;823;736;738;681
