Description;2013;2014;2015;2016;2017;2018;2019
total guests in house;1177;1241;1236;1387;1179;1275;1200
total guests (adults);1173;1236;1232;1380;1171;1256;1182
total guests (children);4;5;4;7;8;19;18
;;;;;;;
total rooms in house;2.015;2015;2015;2.015;2015;2.015;1820
total rooms (occupied);1.070;1122;1100;1.175;1045;1.078;1072
total rooms (free);945;893;915;840;970;937;748
% occupied rooms;53,1;55,68;54,59;58,31;51,86;53,5;58,9
;;;;;;;
complimentary rooms;14;3;1;4;5;8;3
house use rooms;0;0;0;0;0;0;0
OOO rooms;41;24;46;287;461;539;247
OOS rooms;0;1;0;0;0;0;1
;;;;;;;
total rooms - OOO;1974;1991;1969;1728;1554;1476;1573
free rooms - OOO;904;869;869;553;509;398;501
% occupied rooms - complimentary;52,41;55,53;54,54;58,11;51,61;53,1;58,74
;;;;;;;
occupied rooms - copmlimentary/house;1056;1119;1099;1171;1040;1070;1069
occupied beds;31,38;33,08;32,95;36,98;31,43;33,99;35,42
single occupied doubles;842;859;848;819;776;775;824
;;;;;;;
arrivals rooms;666;637;709;709;666;705;691
departures rooms;624;592;680;686;609;684;680
;;;;;;;
arrivals guests;732;723;817;841;760;833;793
departures guests;687;662;775;809;704;840;805
;;;;;;;
VIP Gäste;0;0;0;0;0;0;0
Complimentary Gäste;15;2;0;6;8;15;4
wiederkehrende Zimmer;293;315;388;349;382;367;372
Abreisen nicht bezahlt;0;0;0;0;0;1;0
Reservierungen heute;1.263;1.275;1.061;1.258;1.098;1.186;1.159
Walk Ins;0;8;3;5;2;2;2
Stornierungen für heute;146;135;161;160;138;119;133
Stornierungen heute;162;183;196;172;165;175;167
No Show Zimmer;1;0;0;0;0;0;0
Tageszimmer;3;1;3;2;0;6;1
;;;;;;;
Bruttoumsatz Hotel;153.091,86;157.655,85;195.428,36;221.180,94;191.291,53;194.255,17;204.034,69
Nicht Hotel Umsatz;158,96;111,5;508,45;249,16;37,05;12,08;132
Bruttoumsatz gesamt;153.250,82;157.767,35;195.936,81;221.430,10;191.328,58;194.267,25;204.166,69
Nettoumsatz Hotel;137.564,44;142.265,49;174.101,04;197.028,76;170.887,07;173.693,77;181.779,54
Zahlungen;138.493,36;149.936,81;175.968,51;205.360,22;178.169,28;175.383,49;189.401,68
;;;;;;;
Umsatz pro Erwachsener;130,51;127,55;158,63;160,28;163,36;154,66;172,62
Umsatz pro Person;130,07;127,04;158,11;159,47;162,25;152,36;170,03
Umsatz pro bel. Zimmer;143,08;140,51;177,66;188,24;183,05;180,2;190,33
Umsatz pro verfügbaren Zimmer;77,55;79,18;99,25;128;123,1;131,61;129,71
;;;;;;;
Ø Zim. Umsatz Logis Brutto;88,3;92,48;94,73;100,49;100,72;102,49;99,96
Ø Zim. Umsatz Logis Brutto - Comp;89,47;92,73;94,82;100,84;101,2;103,26;100,24
Ø Zim. Umsatz Logis Brutto - Comp / Haus;89,47;92,73;94,82;100,84;101,2;103,26;100,24
Ø Zim. Umsatz Logis Netto;82,52;86,43;88,53;93,92;94,13;95,78;93,42
Ø Zim. Umsatz Logis Netto - Comp;83,62;86,67;88,61;94,24;94,58;96,5;93,68
Ø Zim. Umsatz Logis Netto - Comp / Haus;83,62;86,67;88,61;94,24;94,58;96,5;93,68
;;;;;;;
Bruttoumsatz Logis;94.480,60;103.767,60;104.202,00;118.081,54;105.247,75;110.484,01;107.153,03
Nettoumsatz Logis;88.299,61;96.979,06;97.385,04;110.356,58;98.362,39;103.256,08;100.143,02
Bruttoumsatz F&B;39.206,00;34.225,35;73.452,81;86.681,46;69.090,93;70.452,41;72.380,41
Nettoumsatz F&B;32.950,34;28.760,80;61.725,04;72.841,58;58.059,60;59.203,70;60.823,88
Bruttoumsatz Minibar;650,5;752,4;564,5;842,5;610,5;510,8;745,4
Nettoumsatz Minibar;546,63;632,27;474,37;707,98;513,02;429,24;626,38
Bruttoumsatz Telefon;39,07;48,96;4,9;4,9;1,8;3,2;3,9
Nettoumsatz Telefon;32,83;41,14;4,12;4,12;1,51;2,69;3,28
Bruttoumsatz Divers;18.715,69;18.861,54;17.204,15;15.570,54;16.340,55;12.804,75;23.751,95
Nettoumsatz Divers;15.735,03;15.852,22;14.512,48;13.118,51;13.950,54;10.802,05;20.182,98
Bruttoumsatz, nicht zuge.;0;0;0;0;0;0;0
Nettoumsatz, nicht zuge.;0;0;0;0;0;0;0
;;;;;;;
Umsatz Firma;75.917,70;82.041,30;76.606,10;78.576,40;84.460,00;80.480,80;90.919,00
Zimmer Firma;925;889;876;799;794;809;893
Umsatz Reisebüro;14.343,60;21.819,00;15.264,20;29.549,50;21.779,25;21.355,45;12.697,55
Zimmer Reisebüro;149;234;256;231;178;165;110
Umsatz Reservierungsstelle;556;3.198,50;345,7;2.120,10;0;486;541,7
Zimmer Reservierungsstelle;5;46;30;16;0;4;3
Umsatz Individuell;8.921,05;9.802,20;10.969,60;17.768,90;14.418,55;21.065,90;12.077,60
Zimmer Individuell;72;77;82;138;104;130;88
Umsatz Bucher;60.518,20;57.322,30;51.416,20;58.977,80;58.991,90;49.734,55;59.801,05
Zimmer Bucher;762;674;651;695;619;568;647
