Description;2013;2014;2015;2016;2017;2018;;
total guests in house;1659;1319;1280;1454;1839;1791;;
total guests (adults);1633;1311;1240;1423;1775;1683;;
total guests (children);26;8;40;31;64;108;;
;;;;;;;;
total rooms in house;2.015;2015;2.015;2015;2.015;2015;;
total rooms (occupied);1.372;1087;970;1112;1.404;1320;;
total rooms (free);643;928;1045;903;611;695;;
% occupied rooms;68,09;53,95;48,14;55,19;69,68;65,51;;
;;;;;;;;
complimentary rooms;2;6;8;5;8;2;;
house use rooms;0;0;0;0;0;0;;
OOO rooms;58;166;37;81;26;108;;
OOS rooms;0;2;1;3;0;0;;
;;;;;;;;
total rooms - OOO;1957;1849;1978;1934;1989;1907;;
free rooms - OOO;585;762;1008;822;585;587;;
% occupied rooms - complimentary;67,99;53,65;47,74;54,94;69,28;65,41;;
;;;;;;;;
occupied rooms - copmlimentary/house;1370;1081;962;1107;1396;1318;;
occupied beds;44,23;35,16;34,12;38,76;49,03;47,75;;
single occupied doubles;978;732;597;722;887;800;;
;;;;;;;;
arrivals rooms;822;699;617;703;862;864;;
departures rooms;787;724;633;713;889;900;;
;;;;;;;;
arrivals guests;1019;843;823;934;1129;1166;;
departures guests;987;864;827;945;1189;1265;;
;;;;;;;;
VIP Gäste;0;0;0;0;0;0;;
Complimentary Gäste;4;6;14;8;16;5;;
wiederkehrende Zimmer;365;370;276;286;401;409;;
Abreisen nicht bezahlt;0;0;0;0;0;0;;
Reservierungen heute;953;809;753;826;890;907;;
Walk Ins;4;6;5;9;5;2;;
Stornierungen für heute;137;112;158;141;136;176;;
Stornierungen heute;139;162;158;148;159;123;;
No Show Zimmer;0;0;0;0;0;0;;
Tageszimmer;3;3;0;1;7;3;;
;;;;;;;;
Bruttoumsatz Hotel;197.908,45;193.314,19;163.510,12;206.183,37;258.387,79;231.891,32;;
Nicht Hotel Umsatz;157,67;176,26;-72,68;0,00;64,05;32,30;;
Bruttoumsatz gesamt;198.066,12;193.490,45;163.437,44;206.183,37;258.451,84;231.923,62;;
Nettoumsatz Hotel;178.109,33;172.747,94;146.530,54;183.771,66;230.645,61;207.078,26;;
Zahlungen;180.169,74;197.245,78;166.785,44;193.913,82;278.364,71;237.153,65;;
;;;;;;;;
Umsatz pro Erwachsener;121,19;147,46;131,86;144,89;145,57;137,78;;
Umsatz pro Person;119,29;146,56;127,74;141,80;140,50;129,48;;
Umsatz pro bel. Zimmer;144,25;177,84;168,57;185,42;184,04;175,68;;
Umsatz pro verfügbaren Zimmer;101,13;104,55;82,66;106,61;129,91;121,60;;
;;;;;;;;
Ø Zim. Umsatz Logis Brutto;91,19;99,00;100,58;100,94;102,13;100,04;;
Ø Zim. Umsatz Logis Brutto - Comp;91,33;99,55;101,41;101,40;102,72;100,19;;
Ø Zim. Umsatz Logis Brutto - Comp / Haus;91,33;99,55;101,41;101,40;102,72;100,19;;
Ø Zim. Umsatz Logis Netto;85,23;92,53;94,00;94,34;95,45;93,50;;
Ø Zim. Umsatz Logis Netto - Comp;85,35;93,04;94,78;94,76;96,00;93,64;;
Ø Zim. Umsatz Logis Netto - Comp / Haus;85,35;93,04;94,78;94,76;96,00;93,64;;
;;;;;;;;
Bruttoumsatz Logis;125.118,60;107.617,80;97.558,60;112.247,52;143.392,40;132.054,42;;
Nettoumsatz Logis;116.933,25;100.577,38;91.176,26;104.904,23;134.011,60;123.415,34;;
Bruttoumsatz F&B;44.649,85;69.026,00;59.657,46;86.208,70;97.207,84;86.745,23;;
Nettoumsatz F&B;37.520,88;58.005,05;50.132,32;72.444,29;81.687,26;72.895,14;;
Bruttoumsatz Minibar;857,00;662,80;885,90;920,30;1.012,40;971,50;;
Nettoumsatz Minibar;720,16;556,97;744,45;773,36;850,75;816,38;;
Bruttoumsatz Telefon;47,81;27,63;47,45;37,25;16,90;16,80;;
Nettoumsatz Telefon;40,17;23,22;39,87;31,30;14,20;14,12;;
Bruttoumsatz Divers;27.235,19;15.979,96;5.360,71;6.769,60;16.758,25;12.103,37;;
Nettoumsatz Divers;22.894,86;13.585,32;4.437,64;5.618,47;14.081,80;9.937,28;;
Bruttoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
Nettoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
;;;;;;;;
Umsatz Firma;86.997,45;75.689,60;59.316,40;65.434,30;93.306,50;85.845,49;;
Zimmer Firma;1.018;770;563;650;910;790;;
Umsatz Reisebüro;32.395,70;28.230,00;37.244,00;37.652,30;26.802,50;39.367,10;;
Zimmer Reisebüro;300;240;311;327;204;338;;
Umsatz Reservierungsstelle;634,10;1.103,60;1.234,60;6.506,55;184,00;96,00;;
Zimmer Reservierungsstelle;6;9;10;65;2;1;;
Umsatz Individuell;15.704,00;20.452,20;24.578,36;19.050,00;35.258,80;31.779,15;;
Zimmer Individuell;132;152;178;130;230;248;;
Umsatz Bucher;70.155,90;50.195,60;31.325,70;52.732,40;77.554,85;64.873,97;;
Zimmer Bucher;846;529;306;544;785;598;;
