Description;2013;2014;2015;2016;2017;2018;2019;;
total guests in house;1738;1573;1770;1716;1896;1784;1709;;
total guests (adults);1703;1550;1747;1700;1880;1739;1679;;
total guests (children);35;23;23;16;16;45;30;;
;;;;;;;;;
total rooms in house;2.015;2015;2015;2.015;2015;2.015;2015;;
total rooms (occupied);1.410;1337;1504;1.414;1626;1.454;1391;;
total rooms (free);605;678;511;601;389;561;624;;
% occupied rooms;69,98;66,35;74,64;70,17;80,69;72,16;69,03;;
;;;;;;;;;
complimentary rooms;2;5;1;6;13;9;1;;
house use rooms;0;0;0;0;0;0;0;;
OOO rooms;23;64;8;44;22;33;109;;
OOS rooms;2;0;0;0;0;0;1;;
;;;;;;;;;
total rooms - OOO;1992;1951;2007;1971;1993;1982;1906;;
free rooms - OOO;582;614;503;557;367;528;515;;
% occupied rooms - complimentary;69,88;66,10;74,59;69,88;80,05;71,71;68,98;;
;;;;;;;;;
occupied rooms - copmlimentary/house;1408;1332;1503;1408;1613;1445;1390;;
occupied beds;46,33;41,94;47,19;45,75;50,55;47,56;45,56;;
single occupied doubles;950;939;1.071;977;1.179;995;931;;
;;;;;;;;;
arrivals rooms;741;860;965;733;902;846;874;;
departures rooms;762;829;933;764;902;865;876;;
;;;;;;;;;
arrivals guests;962;1011;1139;903;1085;1059;1097;;
departures guests;968;986;1124;931;1065;1053;1096;;
;;;;;;;;;
VIP Gäste;0;0;0;0;2;1;0;;
Complimentary Gäste;4;8;1;14;23;16;1;;
wiederkehrende Zimmer;314;412;430;336;464;401;390;;
Abreisen nicht bezahlt;0;0;0;0;0;0;0;;
Reservierungen heute;870;1.174;855;987;1.113;1.203;1.104;;
Walk Ins;3;5;4;3;2;2;8;;
Stornierungen für heute;203;209;206;194;211;170;157;;
Stornierungen heute;177;172;219;200;223;198;178;;
No Show Zimmer;0;0;0;0;1;0;0;;
Tageszimmer;3;1;6;3;9;7;4;;
;;;;;;;;;
Bruttoumsatz Hotel;179.035,95;195.835,02;252.688,28;279.320,07;301.386,13;292.664,64;270.687,08;;
Nicht Hotel Umsatz;457,68;81,80;229,50;-20,14;48,54;63,46;123,00;;
Bruttoumsatz gesamt;179.493,63;195.916,82;252.917,78;279.299,94;301.434,67;292.728,10;270.810,08;;
Nettoumsatz Hotel;162.324,52;176.726,20;226.015,53;247.782,07;268.948,93;260.105,69;241.792,40;;
Zahlungen;189.707,76;188.583,42;249.571,76;296.865,03;296.665,03;304.483,54;262.900,81;;
;;;;;;;;;
Umsatz pro Erwachsener;105,13;126,35;144,64;164,31;160,31;168,29;161,22;;
Umsatz pro Person;103,01;124,50;142,76;162,77;158,96;164,05;158,39;;
Umsatz pro bel. Zimmer;126,98;146,47;168,01;197,54;185,35;201,28;194,60;;
Umsatz pro verfügbaren Zimmer;89,88;100,38;125,90;141,71;151,22;147,66;142,02;;
;;;;;;;;;
Ø Zim. Umsatz Logis Brutto;89,29;96,44;98,45;97,68;102,30;103,42;107,91;;
Ø Zim. Umsatz Logis Brutto - Comp;89,42;96,81;98,51;98,09;103,12;104,07;107,98;;
Ø Zim. Umsatz Logis Brutto - Comp / Haus;89,42;96,81;98,51;98,09;103,12;104,07;107,98;;
