Description;2013;2014;2015;2016;2017;2018;;
total guests in house;1892;2033;2071;1958;2044;2001;;
total guests (adults);1860;2004;2064;1931;2028;1975;;
total guests (children);32;29;7;27;16;26;;
;;;;;;;;
total rooms in house;2.015;2015;2.015;2015;2.015;2015;;
total rooms (occupied);1.620;1768;1.782;1654;1.807;1644;;
total rooms (free);395;247;233;361;208;371;;
% occupied rooms;80,40;87,74;88,44;82,08;89,68;81,59;;
;;;;;;;;
complimentary rooms;0;1;9;6;4;7;;
house use rooms;0;0;0;0;0;0;;
OOO rooms;16;3;3;0;17;15;;
OOS rooms;1;0;0;0;0;0;;
;;;;;;;;
total rooms - OOO;1999;2012;2012;2015;1998;2000;;
free rooms - OOO;379;244;230;361;191;356;;
% occupied rooms - complimentary;80,40;87,69;87,99;81,79;89,48;81,24;;
;;;;;;;;
occupied rooms - copmlimentary/house;1620;1767;1773;1648;1803;1637;;
occupied beds;50,44;54,20;55,21;52,20;54,49;53,35;;
single occupied doubles;1.179;1.308;1.285;1.191;1.348;1.118;;
;;;;;;;;
arrivals rooms;532;721;717;674;719;742;;
departures rooms;499;692;700;641;713;732;;
;;;;;;;;
arrivals guests;651;870;892;855;855;946;;
departures guests;589;836;879;841;870;927;;
;;;;;;;;
VIP Gäste;0;0;0;0;0;0;;
Complimentary Gäste;0;2;15;9;8;13;;
wiederkehrende Zimmer;216;318;307;335;354;319;;
Abreisen nicht bezahlt;1;0;0;0;0;0;;
Reservierungen heute;703;755;577;824;883;939;;
Walk Ins;1;3;2;3;1;0;;
Stornierungen für heute;126;224;186;222;180;163;;
Stornierungen heute;81;153;204;212;173;167;;
No Show Zimmer;1;1;0;0;0;0;;
Tageszimmer;3;0;1;2;11;0;;
;;;;;;;;
Bruttoumsatz Hotel;192.263,71;247.391,69;259.167,70;271.093,31;304.468,26;276.197,91;;
Nicht Hotel Umsatz;269,20;148,74;122,44;459,37;-132,91;79,20;;
Bruttoumsatz gesamt;192.532,91;247.540,43;259.290,14;271.552,68;304.335,35;276.277,11;;
Nettoumsatz Hotel;175.232,76;224.817,98;233.303,72;243.828,34;273.746,17;249.240,93;;
Zahlungen;205.820,24;230.933,87;260.014,75;266.495,53;278.634,56;276.445,06;;
;;;;;;;;
Umsatz pro Erwachsener;103,37;123,45;125,57;140,39;150,13;139,85;;
Umsatz pro Person;101,62;121,69;125,14;138,45;148,96;138,03;;
Umsatz pro bel. Zimmer;118,68;139,93;145,44;163,90;168,49;168,00;;
Umsatz pro verfügbaren Zimmer;96,18;122,96;128,81;134,54;152,39;138,10;;
;;;;;;;;
Ø Zim. Umsatz Logis Brutto;89,47;100,25;97,03;102,99;105,13;108,02;;
Ø Zim. Umsatz Logis Brutto - Comp;89,47;100,30;97,53;103,37;105,36;108,48;;
Ø Zim. Umsatz Logis Brutto - Comp / Haus;89,47;100,30;97,53;103,37;105,36;108,48;;
Ø Zim. Umsatz Logis Netto;83,62;93,69;90,68;96,26;98,25;100,95;;
Ø Zim. Umsatz Logis Netto - Comp;83,62;93,74;91,15;96,61;98,47;101,38;;
Ø Zim. Umsatz Logis Netto - Comp / Haus;83,62;93,74;91,15;96,61;98,47;101,38;;
;;;;;;;;
Bruttoumsatz Logis;144.946,60;177.234,08;172.912,40;170.353,28;189.966,67;177.577,25;;
Nettoumsatz Logis;135.464,14;165.639,37;161.600,37;159.208,69;177.538,93;165.960,05;;
Bruttoumsatz F&B;33.743,25;50.423,15;88.157,95;92.423,48;105.769,84;81.963,96;;
Nettoumsatz F&B;28.355,70;42.372,42;74.082,33;77.666,82;88.882,21;68.877,26;;
Bruttoumsatz Minibar;943,00;1.085,00;1.040,40;1.174,80;1.267,10;1.104,90;;
Nettoumsatz Minibar;792,43;911,76;874,28;987,22;1.064,78;928,48;;
Bruttoumsatz Telefon;76,44;61,15;52,05;19,05;20,95;3,20;;
Nettoumsatz Telefon;64,24;51,39;43,74;16,01;17,61;2,69;;
Bruttoumsatz Divers;12.554,42;18.588,31;-2.995,10;7.122,70;7.443,70;15.548,60;;
Nettoumsatz Divers;10.556,25;15.843,04;-3.297,01;5.949,60;6.242,65;13.472,44;;
Bruttoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
Nettoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
;;;;;;;;
Umsatz Firma;52.835,30;85.734,88;73.578,68;72.362,95;80.382,30;77.309,60;;
Zimmer Firma;1.447;1544;1.492;1370;1.412;1320;;
Umsatz Reisebüro;10.405,50;21.241,70;21.042,40;19.776,25;17.151,30;14.790,15;;
Zimmer Reisebüro;89;297;172;131;94;104;;
Umsatz Reservierungsstelle;240,00;743,10;0,00;2.061,30;0,00;0,00;;
Zimmer Reservierungsstelle;2;6;0;15;0;0;;
Umsatz Individuell;14.005,65;17.970,18;18.834,00;27.201,85;24.524,90;32.831,80;;
Zimmer Individuell;105;114;132;131;128;186;;
Umsatz Bucher;45.077,50;63.878,83;66.256,08;55.887,35;64.052,45;63.175,25;;
Zimmer Bucher;1.381;1.372;1.405;1.252;1.412;1.234;;
