Description;2013;2014;2015;2016;2017;2018;;
total guests in house;2083;1649;1888;1995;1986;1920;;
total guests (adults);2057;1638;1875;1973;1946;1893;;
total guests (children);26;11;13;22;40;27;;
;;;;;;;;
total rooms in house;1.950;1950;1.950;1950;1.950;1950;;
total rooms (occupied);1.665;1405;1.596;1668;1.599;1567;;
total rooms (free);285;545;354;282;351;383;;
% occupied rooms;85,38;72,05;81,85;85,54;82,00;80,36;;
;;;;;;;;
complimentary rooms;7;9;0;2;3;6;;
house use rooms;0;0;0;0;0;0;;
OOO rooms;26;18;4;6;12;49;;
OOS rooms;0;0;1;0;1;2;;
;;;;;;;;
total rooms - OOO;1924;1932;1946;1944;1938;1901;;
free rooms - OOO;259;527;350;276;339;334;;
% occupied rooms - complimentary;85,03;71,59;81,85;85,44;81,85;80,05;;
;;;;;;;;
occupied rooms - copmlimentary/house;1658;1396;1596;1666;1596;1561;;
occupied beds;57,38;45,43;52,01;54,96;54,71;52,89;;
single occupied doubles;1.054;997;1.098;1.153;1.069;1.051;;
;;;;;;;;
arrivals rooms;902;934;916;1.044;916;1.024;;
departures rooms;865;967;901;1.001;886;994;;
;;;;;;;;
arrivals guests;1152;1109;1089;1295;1129;1252;;
departures guests;1077;1157;1105;1257;1117;1195;;
;;;;;;;;
VIP Gäste;0;0;0;0;0;0;;
Complimentary Gäste;11;15;0;3;7;9;;
wiederkehrende Zimmer;404;389;393;496;416;452;;
Abreisen nicht bezahlt;0;0;0;0;0;0;;
Reservierungen heute;991;730;753;1.069;924;928;;
Walk Ins;12;10;7;6;2;3;;
Stornierungen für heute;290;193;257;246;205;192;;
Stornierungen heute;243;148;267;200;233;207;;
No Show Zimmer;0;0;0;0;0;0;;
Tageszimmer;0;7;3;9;9;2;;
;;;;;;;;
Bruttoumsatz Hotel;243.523,73;256.172,77;308.853,42;303.880,51;316.574,77;330.680,47;;
Nicht Hotel Umsatz;404,84;380,70;137,45;88,71;138,00;130,20;;
Bruttoumsatz gesamt;243.928,57;256.553,47;308.990,87;303.969,22;316.712,77;330.810,67;;
Nettoumsatz Hotel;219.296,61;227.953,96;274.618,60;271.153,73;282.114,76;293.773,20;;
Zahlungen;230.541,30;243.792,72;303.944,73;298.833,91;306.251,86;321.635,84;;
;;;;;;;;
Umsatz pro Erwachsener;118,39;156,39;164,72;154,02;162,68;174,69;;
Umsatz pro Person;116,91;155,35;163,59;152,32;159,40;172,23;;
Umsatz pro bel. Zimmer;146,26;182,33;193,52;182,18;197,98;211,03;;
Umsatz pro verfügbaren Zimmer;126,57;132,59;158,71;156,32;163,35;173,95;;
;;;;;;;;
Ø Zim. Umsatz Logis Brutto;93,37;96,05;100,99;100,02;105,36;105,61;;
Ø Zim. Umsatz Logis Brutto - Comp;93,76;96,67;100,99;100,14;105,56;106,02;;
Ø Zim. Umsatz Logis Brutto - Comp / Haus;93,76;96,67;100,99;100,14;105,56;106,02;;
Ø Zim. Umsatz Logis Netto;87,26;89,77;94,38;93,47;98,47;98,70;;
Ø Zim. Umsatz Logis Netto - Comp;87,63;90,34;94,38;93,58;98,65;99,08;;
Ø Zim. Umsatz Logis Netto - Comp / Haus;87,63;90,34;94,38;93,58;98,65;99,08;;
;;;;;;;;
Bruttoumsatz Logis;155.457,40;134.949,50;161.181,60;166.825,47;168.468,10;165.496,14;;
Nettoumsatz Logis;145.287,27;126.121,02;150.637,01;155.911,67;157.446,83;154.669,28;;
Bruttoumsatz F&B;56.140,30;102.960,60;120.653,22;109.451,29;126.987,97;131.793,40;;
Nettoumsatz F&B;47.176,73;86.521,38;101.389,23;91.975,90;106.712,58;110.750,74;;
Bruttoumsatz Minibar;1.181,10;639,50;1.014,70;722,60;916,80;837,70;;
Nettoumsatz Minibar;992,52;537,39;852,68;607,22;770,41;703,95;;
Bruttoumsatz Telefon;39,39;23,55;51,35;24,95;7,80;0,20;;
Nettoumsatz Telefon;33,10;19,79;43,15;20,97;6,55;0,17;;
Bruttoumsatz Divers;30.705,54;17.599,62;25.952,55;26.856,20;20.194,10;32.553,03;;
Nettoumsatz Divers;25.807,00;14.754,37;21.696,54;22.637,97;17.178,38;27.649,07;;
Bruttoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
Nettoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
;;;;;;;;
Umsatz Firma;110.647,65;83.878,80;88.039,90;109.850,65;121.733,85;111.036,95;;
Zimmer Firma;1.225;1122;1.084;1247;1.183;1177;;
Umsatz Reisebüro;24.414,20;24.009,50;45.339,05;30.574,75;31.949,80;15.418,50;;
Zimmer Reisebüro;254;214;358;247;284;183;;
Umsatz Reservierungsstelle;110,00;254,60;0,00;0,00;346,00;0,00;;
Zimmer Reservierungsstelle;1;2;0;0;3;0;;
Umsatz Individuell;29.756,90;17.013,80;24.088,40;26.770,65;32.509,55;31.736,95;;
Zimmer Individuell;231;129;198;191;223;219;;
Umsatz Bucher;83.173,25;59.037,30;73.995,80;79.244,85;75.970,85;79.682,00;;
Zimmer Bucher;989;907;926;1.034;809;957;;
