Description;2013;2014;2015;2016;2017;2018;;
total guests in house;1940;1876;1973;1989;1947;2044;;
total guests (adults);1928;1849;1945;1939;1880;1969;;
total guests (children);12;27;28;50;67;75;;
;;;;;;;;
total rooms in house;2.015;2015;2.015;2015;2.015;2015;;
total rooms (occupied);1.580;1516;1.619;1569;1.505;1578;;
total rooms (free);435;499;396;446;510;437;;
% occupied rooms;78,41;75,24;80,35;77,87;74,69;78,31;;
;;;;;;;;
complimentary rooms;7;5;9;4;8;6;;
house use rooms;0;0;0;0;0;0;;
OOO rooms;62;64;31;73;72;87;;
OOS rooms;0;0;0;0;5;0;;
;;;;;;;;
total rooms - OOO;1953;1951;1984;1942;1943;1928;;
free rooms - OOO;373;435;365;373;438;350;;
% occupied rooms - complimentary;78,06;74,99;79,90;77,67;74,29;78,01;;
;;;;;;;;
occupied rooms - copmlimentary/house;1573;1511;1610;1565;1497;1572;;
occupied beds;51,72;50,01;52,60;53,03;51,91;54,49;;
single occupied doubles;1.033;1.002;1.070;1.004;950;1.003;;
;;;;;;;;
arrivals rooms;877;886;920;879;802;896;;
departures rooms;919;894;935;890;824;891;;
;;;;;;;;
arrivals guests;1097;1126;1167;1149;1062;1179;;
departures guests;1141;1117;1157;1184;1114;1173;;
;;;;;;;;
VIP Gäste;0;0;0;0;0;0;;
Complimentary Gäste;13;8;11;9;13;10;;
wiederkehrende Zimmer;369;365;333;334;335;392;;
Abreisen nicht bezahlt;0;0;0;0;0;0;;
Reservierungen heute;1.124;871;839;1.065;1.184;1.139;;
Walk Ins;8;6;9;5;4;2;;
Stornierungen für heute;232;170;215;245;202;186;;
Stornierungen heute;238;174;265;207;201;211;;
No Show Zimmer;0;0;0;0;0;0;;
Tageszimmer;2;0;3;0;10;2;;
;;;;;;;;
Bruttoumsatz Hotel;226.491,49;259.235,60;288.995,89;309.954,75;308.148,32;318.155,26;;
Nicht Hotel Umsatz;47,05;81,44;-3,37;-272,46;25,77;73,35;;
Bruttoumsatz gesamt;226.538,54;259.317,04;288.992,52;309.682,29;308.174,09;318.228,61;;
Nettoumsatz Hotel;204.486,77;231.890,78;257.948,69;275.281,54;273.589,07;282.887,50;;
Zahlungen;241.048,47;266.320,29;301.868,72;310.643,95;305.039,72;324.363,79;;
;;;;;;;;
Umsatz pro Erwachsener;117,47;140,20;148,58;159,85;163,91;161,58;;
Umsatz pro Person;116,75;138,19;146,48;155,83;158,27;155,65;;
Umsatz pro bel. Zimmer;143,35;171,00;178,50;197,55;204,75;201,62;;
Umsatz pro verfügbaren Zimmer;115,97;132,87;145,66;159,61;158,59;165,02;;
;;;;;;;;
Ø Zim. Umsatz Logis Brutto;95,04;100,09;100,14;100,32;101,17;103,63;;
Ø Zim. Umsatz Logis Brutto - Comp;95,47;100,42;100,70;100,57;101,71;104,03;;
Ø Zim. Umsatz Logis Brutto - Comp / Haus;95,47;100,42;100,70;100,57;101,71;104,03;;
Ø Zim. Umsatz Logis Netto;88,83;93,54;93,59;93,75;94,55;96,85;;
Ø Zim. Umsatz Logis Netto - Comp;89,22;93,85;94,11;93,99;95,05;97,22;;
Ø Zim. Umsatz Logis Netto - Comp / Haus;89,22;93,85;94,11;93,99;95,05;97,22;;
;;;;;;;;
Bruttoumsatz Logis;150.169,43;151.734,50;162.129,40;157.394,61;152.254,65;163.528,30;;
Nettoumsatz Logis;140.345,25;141.807,94;151.522,80;147.097,77;142.294,07;152.830,17;;
Bruttoumsatz F&B;49.806,46;92.489,85;109.081,10;135.100,79;129.510,97;130.126,78;;
Nettoumsatz F&B;41.854,18;77.722,57;91.664,77;113.530,09;108.832,74;109.350,22;;
Bruttoumsatz Minibar;1.050,00;803,70;844,20;782,20;892,00;920,20;;
Nettoumsatz Minibar;882,35;675,37;709,41;657,31;749,58;773,27;;
Bruttoumsatz Telefon;45,18;62,35;28,15;16,95;0,70;132,90;;
Nettoumsatz Telefon;37,96;52,39;23,66;14,24;0,59;111,68;;
Bruttoumsatz Divers;25.420,42;14.145,20;16.913,04;16.660,20;25.490,00;23.447,08;;
Nettoumsatz Divers;21.367,03;11.632,50;14.028,06;13.982,13;21.712,09;19.822,16;;
Bruttoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
Nettoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
;;;;;;;;
Umsatz Firma;110.316,15;77.750,60;79.024,00;94.810,80;86.433,40;89.430,28;;
Zimmer Firma;1.167;1185;1.073;1073;1.070;1015;;
Umsatz Reisebüro;30.331,05;27.312,80;27.751,70;30.585,86;28.115,65;17.565,85;;
Zimmer Reisebüro;290;274;239;246;243;204;;
Umsatz Reservierungsstelle;546,30;601,20;0,00;1.266,75;0,00;0,00;;
Zimmer Reservierungsstelle;31;32;0;11;0;0;;
Umsatz Individuell;19.024,64;15.670,70;35.797,50;27.016,25;24.005,00;33.278,40;;
Zimmer Individuell;156;153;270;182;172;243;;
Umsatz Bucher;88.362,50;55.804,30;68.035,75;79.729,35;50.968,50;61.673,03;;
Zimmer Bucher;963;974;981;1.002;828;962;;
