Description;2013;2014;2015;2016;2017;2018;;
total guests in house;1970;1858;1818;2005;1918;2097;;
total guests (adults);1936;1845;1810;1962;1882;2013;;
total guests (children);34;13;8;43;36;84;;
;;;;;;;;
total rooms in house;1.950;1950;1.950;1950;1.950;1950;;
total rooms (occupied);1.603;1538;1.498;1590;1.484;1604;;
total rooms (free);347;412;452;360;466;346;;
% occupied rooms;82,21;78,87;76,82;81,54;76,10;82,26;;
;;;;;;;;
complimentary rooms;7;3;8;4;6;3;;
house use rooms;0;0;0;0;0;0;;
OOO rooms;77;30;60;49;45;51;;
OOS rooms;2;0;0;0;0;0;;
;;;;;;;;
total rooms - OOO;1873;1920;1890;1901;1905;1899;;
free rooms - OOO;270;382;392;311;421;295;;
% occupied rooms - complimentary;81,85;78,72;76,41;81,33;75,79;82,10;;
;;;;;;;;
occupied rooms - copmlimentary/house;1596;1535;1490;1586;1478;1601;;
occupied beds;54,27;51,18;50,08;55,23;52,84;57,77;;
single occupied doubles;1.044;1.028;997;1.041;926;980;;
;;;;;;;;
arrivals rooms;883;970;929;901;987;971;;
departures rooms;873;923;895;934;972;1.005;;
;;;;;;;;
arrivals guests;1082;1180;1157;1146;1291;1266;;
departures guests;1101;1133;1126;1151;1226;1336;;
;;;;;;;;
VIP Gäste;0;0;0;0;0;0;;
Complimentary Gäste;11;4;11;8;10;5;;
wiederkehrende Zimmer;335;369;323;338;385;397;;
Abreisen nicht bezahlt;0;0;0;0;0;0;;
Reservierungen heute;873;737;796;1.081;813;999;;
Walk Ins;6;18;9;8;1;1;;
Stornierungen für heute;233;321;253;230;224;189;;
Stornierungen heute;174;217;218;220;165;167;;
No Show Zimmer;0;0;0;0;0;1;;
Tageszimmer;2;6;2;8;5;4;;
;;;;;;;;
Bruttoumsatz Hotel;234.543,20;253.429,01;286.646,20;271.600,15;282.760,43;306.456,09;;
Nicht Hotel Umsatz;94,28;65,05;74,15;438,40;45,22;87,00;;
Bruttoumsatz gesamt;234.637,48;253.494,06;286.720,35;272.038,55;282.805,65;306.543,09;;
Nettoumsatz Hotel;211.345,24;227.381,75;255.287,99;243.178,31;252.271,20;273.454,54;;
Zahlungen;224.471,36;234.991,71;272.685,15;273.503,55;284.731,20;305.875,14;;
;;;;;;;;
Umsatz pro Erwachsener;121,15;137,36;158,37;138,43;150,24;152,24;;
Umsatz pro Person;119,06;136,40;157,67;135,46;147,42;146,14;;
Umsatz pro bel. Zimmer;146,32;164,78;191,35;170,82;190,54;191,06;;
Umsatz pro verfügbaren Zimmer;125,22;131,99;151,66;142,87;148,43;161,38;;
;;;;;;;;
Ø Zim. Umsatz Logis Brutto;94,30;100,30;101,93;99,55;104,97;104,36;;
Ø Zim. Umsatz Logis Brutto - Comp;94,71;100,49;102,47;99,80;105,40;104,56;;
Ø Zim. Umsatz Logis Brutto - Comp / Haus;94,71;100,49;102,47;99,80;105,40;104,56;;
Ø Zim. Umsatz Logis Netto;88,13;93,74;95,26;93,03;98,10;97,53;;
Ø Zim. Umsatz Logis Netto - Comp;88,52;93,92;95,77;93,27;98,50;97,72;;
Ø Zim. Umsatz Logis Netto - Comp / Haus;88,52;93,92;95,77;93,27;98,50;97,72;;
;;;;;;;;
Bruttoumsatz Logis;151.163,00;154.258,40;152.686,40;158.277,16;155.773,95;167.394,30;;
Nettoumsatz Logis;141.273,82;144.166,72;142.697,57;147.922,59;145.583,14;156.443,26;;
Bruttoumsatz F&B;53.109,90;83.246,56;115.845,00;96.480,84;108.174,68;124.035,89;;
Nettoumsatz F&B;44.630,18;69.955,10;97.348,74;81.076,36;90.903,08;104.231,82;;
Bruttoumsatz Minibar;949,00;1.010,90;807,40;908,10;734,40;883,90;;
Nettoumsatz Minibar;797,47;849,49;678,48;763,10;617,14;742,77;;
Bruttoumsatz Telefon;80,50;49,75;18,65;38,25;1,60;7,90;;
Nettoumsatz Telefon;67,65;41,81;15,67;32,14;1,34;6,64;;
Bruttoumsatz Divers;29.240,80;14.863,40;17.288,75;15.895,80;18.075,80;14.134,10;;
Nettoumsatz Divers;24.576,13;12.368,62;14.547,53;13.384,11;15.166,50;12.030,06;;
Bruttoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
Nettoumsatz, nicht zuge.;0,00;0,00;0,00;0,00;0,00;0,00;;
;;;;;;;;
Umsatz Firma;107.901,90;101.629,80;76.842,00;94.704,20;95.167,50;96.725,65;;
Zimmer Firma;1.226;1206;1.012;1077;943;1043;;
Umsatz Reisebüro;22.541,75;33.323,50;31.215,70;31.281,15;33.342,85;27.201,95;;
Zimmer Reisebüro;207;291;346;305;260;216;;
Umsatz Reservierungsstelle;744,50;2.313,70;0,00;501,00;0,00;0,00;;
Zimmer Reservierungsstelle;6;17;0;4;0;0;;
Umsatz Individuell;21.916,25;22.866,00;28.892,20;24.085,10;32.049,40;31.903,95;;
Zimmer Individuell;162;164;228;180;214;218;;
Umsatz Bucher;91.116,45;68.804,00;58.326,20;77.564,50;71.296,47;82.723,65;;
Zimmer Bucher;1.121;865;848;992;798;945;;
